[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427555681 | ist=2026-04-06 03:49:15.681000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings stored row {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427555681 | ist=2026-04-06 03:49:15.681000+05:30', 'sync_version': 1, 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427555681 | ist=2026-04-06 03:49:15.681000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427555681 | ist=2026-04-06 03:49:15.681000+05:30', 'existing_updated_at': 'ms=1775427555681 | ist=2026-04-06 03:49:15.681000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427555681 | ist=2026-04-06 03:49:15.681000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427555681 | ist=2026-04-06 03:49:15.681000+05:30', 'existing_updated_at': 'ms=1775427555681 | ist=2026-04-06 03:49:15.681000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427601560 | ist=2026-04-06 03:50:01.560000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings stored row {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427601560 | ist=2026-04-06 03:50:01.560000+05:30', 'sync_version': 1, 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427601560 | ist=2026-04-06 03:50:01.560000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427601560 | ist=2026-04-06 03:50:01.560000+05:30', 'existing_updated_at': 'ms=1775427601560 | ist=2026-04-06 03:50:01.560000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427601560 | ist=2026-04-06 03:50:01.560000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427601560 | ist=2026-04-06 03:50:01.560000+05:30', 'existing_updated_at': 'ms=1775427601560 | ist=2026-04-06 03:50:01.560000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775424497147 | ist=2026-04-06 02:58:17.147000+05:30', 'client_device': 'eshu_tablet (device_eshu_tablet)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775424497147 | ist=2026-04-06 02:58:17.147000+05:30', 'existing_updated_at': 'ms=1775427601560 | ist=2026-04-06 03:50:01.560000+05:30', 'client_device': 'eshu_tablet (device_eshu_tablet)'}
